title,year,certificate,runtime,genre,rating,metascore
The Shop Around the Corner,(1940),Not Rated,99 min,"Comedy, Drama, Romance ",8.1,96
Rebecca,(1940),Approved,130 min,"Drama, Mystery, Romance ",8.1,86
Mr. Smith Goes to Washington,(1939),Passed,129 min,"Comedy, Drama ",8.1,73
Gone with the Wind,(1939),Passed,238 min,"Drama, History, Romance ",8.1,97
La Grande Illusion,(1937),Not Rated,113 min,"Drama, War ",8.1,
It Happened One Night,(1934),Approved,105 min,"Comedy, Romance ",8.1,87
The Passion of Joan of Arc,(1928),Passed,114 min,"Biography, Drama, History ",8.1,
The Circus,(1928),Passed,72 min,"Comedy, Romance ",8.1,90
Sunrise,(1927),Passed,94 min,"Drama, Romance ",8.1,
The General,(1926),Passed,67 min,"Action, Adventure, Comedy ",8.1,
The Cabinet of Dr. Caligari,(1920),Not Rated,67 min,"Fantasy, Horror, Mystery ",8.1,
Shoplifters,(2018),R,121 min,"Crime, Drama ",8.0,93
Badhaai Ho,(2018),Not Rated,124 min,"Comedy, Drama ",8.0,
Marriage Story,(2019),R,137 min,"Comedy, Drama, Romance ",8.0,94
Togo,(2019),PG,113 min,"Adventure, Biography, Drama ",8.0,69
Airlift,(2016),Not Rated,130 min,"Drama, History ",8.0,
Bajrangi Bhaijaan,(2015),Not Rated,163 min,"Action, Adventure, Comedy ",8.0,
Baby,(I) (2015),Not Rated,159 min,"Action, Thriller ",8.0,
La La Land,(2016),PG-13,128 min,"Comedy, Drama, Music ",8.0,94
Lion,(2016),PG-13,118 min,"Biography, Drama ",8.0,69
The Martian,(2015),PG-13,144 min,"Adventure, Drama, Sci-Fi ",8.0,80
Zootopia,(2016),PG,108 min,"Animation, Adventure, Comedy ",8.0,78
The Tale of The Princess Kaguya,(2013),PG,137 min,"Animation, Adventure, Drama ",8.0,89
Wonder,(I) (2017),PG,113 min,"Drama, Family ",8.0,66
Special 26,(2013),Not Rated,144 min,"Crime, Drama, Thriller ",8.0,
Short Term 12,(2013),R,96 min,Drama ,8.0,82
The Raid 2,(2014),R,150 min,"Action, Crime, Thriller ",8.0,71
The Imitation Game,(2014),PG-13,114 min,"Biography, Drama, Thriller ",8.0,73
Guardians of the Galaxy,(2014),PG-13,121 min,"Action, Adventure, Comedy ",8.0,76
Blade Runner 2049,(2017),R,164 min,"Action, Drama, Mystery ",8.0,81
Her,(2013),R,126 min,"Drama, Romance, Sci-Fi ",8.0,90
Bohemian Rhapsody,(2018),PG-13,134 min,"Biography, Drama, Music ",8.0,49
The Revenant,(2015),R,156 min,"Action, Adventure, Drama ",8.0,76
The Perks of Being a Wallflower,(2012),PG-13,103 min,"Drama, Romance ",8.0,67
Elite Squad 2: The Enemy Within,(2010),Not Rated,115 min,"Action, Crime, Drama ",8.0,71
The King's Speech,(2010),R,118 min,"Biography, Drama, History ",8.0,88
The Help,(2011),PG-13,146 min,Drama ,8.0,62
